datetime,count
2011-01-20 00:00:00,13.88
2011-01-20 01:00:00,6.28
2011-01-20 02:00:00,5.74
2011-01-20 03:00:00,3.29
2011-01-20 04:00:00,2.8
2011-01-20 05:00:00,7.52
2011-01-20 06:00:00,34.58
2011-01-20 07:00:00,87.7
2011-01-20 08:00:00,191.45
2011-01-20 09:00:00,117.32
2011-01-20 10:00:00,59.58
2011-01-20 11:00:00,61.9
2011-01-20 12:00:00,77.32
2011-01-20 13:00:00,72.36
2011-01-20 14:00:00,75.96
2011-01-20 15:00:00,79.97
2011-01-20 16:00:00,90.02
2011-01-20 17:00:00,191.94
2011-01-20 18:00:00,160.55
2011-01-20 19:00:00,103.38
2011-01-20 20:00:00,74.62
2011-01-20 21:00:00,49.21
2011-01-20 22:00:00,41.94
2011-01-20 23:00:00,23.86
2011-01-21 00:00:00,14.36
2011-01-21 01:00:00,7.41
2011-01-21 02:00:00,6.28
2011-01-21 03:00:00,2.64
2011-01-21 04:00:00,2.38
2011-01-21 05:00:00,5.41
2011-01-21 06:00:00,32.46
2011-01-21 07:00:00,85.67
2011-01-21 08:00:00,175.48
2011-01-21 09:00:00,118.05
2011-01-21 10:00:00,34.94
2011-01-21 11:00:00,51.39
2011-01-21 12:00:00,56.32
2011-01-21 13:00:00,50.7
2011-01-21 14:00:00,49.98
2011-01-21 15:00:00,48.79
2011-01-21 16:00:00,67.17
2011-01-21 17:00:00,147.09
2011-01-21 18:00:00,147.04
2011-01-21 19:00:00,103.99
2011-01-21 20:00:00,64.29
2011-01-21 21:00:00,46.98
2011-01-21 22:00:00,33.19
2011-01-21 23:00:00,20.52
2011-01-22 00:00:00,25.51
2011-01-22 01:00:00,19.0
2011-01-22 02:00:00,13.06
2011-01-22 03:00:00,11.17
2011-01-22 04:00:00,3.96
2011-01-22 06:00:00,6.42
2011-01-22 07:00:00,17.4
2011-01-22 08:00:00,28.39
2011-01-22 09:00:00,34.85
2011-01-22 10:00:00,57.97
2011-01-22 11:00:00,60.43
2011-01-22 12:00:00,77.84
2011-01-22 13:00:00,83.97
2011-01-22 14:00:00,81.48
2011-01-22 15:00:00,85.22
2011-01-22 16:00:00,84.79
2011-01-22 17:00:00,87.85
2011-01-22 18:00:00,71.4
2011-01-22 19:00:00,58.02
2011-01-22 20:00:00,43.74
2011-01-22 21:00:00,40.53
2011-01-22 22:00:00,29.01
2011-01-22 23:00:00,19.32
2011-01-23 00:00:00,28.16
2011-01-23 01:00:00,21.3
2011-01-23 02:00:00,14.31
2011-01-23 03:00:00,16.15
2011-01-23 05:00:00,2.79
2011-01-23 06:00:00,5.47
2011-01-23 07:00:00,17.86
2011-01-23 08:00:00,26.98
2011-01-23 09:00:00,31.8
2011-01-23 10:00:00,64.0
2011-01-23 11:00:00,70.04
2011-01-23 12:00:00,76.3
2011-01-23 13:00:00,77.96
2011-01-23 14:00:00,81.7
2011-01-23 15:00:00,82.0
2011-01-23 16:00:00,83.72
2011-01-23 17:00:00,87.84
2011-01-23 18:00:00,79.73
2011-01-23 19:00:00,63.05
2011-01-23 20:00:00,41.05
2011-01-23 21:00:00,35.52
2011-01-23 22:00:00,20.27
2011-01-23 23:00:00,17.07
2011-01-24 00:00:00,12.96
2011-01-24 01:00:00,5.13
2011-01-24 03:00:00,2.35
2011-01-24 04:00:00,2.25
2011-01-24 05:00:00,6.45
2011-01-24 06:00:00,29.12
2011-01-24 07:00:00,76.62
2011-01-24 08:00:00,174.71
2011-01-24 09:00:00,104.26
2011-01-24 10:00:00,36.8
2011-01-24 11:00:00,32.8
2011-01-24 12:00:00,37.89
2011-01-24 13:00:00,35.45
2011-01-24 14:00:00,32.9
2011-01-24 15:00:00,41.82
2011-01-24 16:00:00,53.91
2011-01-24 17:00:00,137.79
2011-01-24 18:00:00,134.61
2011-01-24 19:00:00,96.4
2011-01-24 20:00:00,65.98
2011-01-24 21:00:00,45.82
2011-01-24 22:00:00,28.25
2011-01-24 23:00:00,19.16
2011-01-25 00:00:00,11.48
2011-01-25 01:00:00,4.43
2011-01-25 02:00:00,3.48
2011-01-25 04:00:00,2.09
2011-01-25 05:00:00,6.13
2011-01-25 06:00:00,31.48
2011-01-25 07:00:00,79.43
2011-01-25 08:00:00,159.63
2011-01-25 09:00:00,108.44
2011-01-25 10:00:00,50.62
2011-01-25 11:00:00,54.92
2011-01-25 12:00:00,70.63
2011-01-25 13:00:00,69.02
2011-01-25 14:00:00,73.93
2011-01-25 15:00:00,77.75
2011-01-25 16:00:00,93.87
2011-01-25 17:00:00,198.17
2011-01-25 18:00:00,185.11
2011-01-25 19:00:00,111.82
2011-01-25 20:00:00,74.82
2011-01-25 21:00:00,49.58
2011-01-25 22:00:00,36.65
2011-01-25 23:00:00,20.39
2011-01-26 00:00:00,11.61
2011-01-26 01:00:00,6.12
2011-01-26 02:00:00,4.4
2011-01-26 05:00:00,4.68
2011-01-26 06:00:00,25.93
2011-01-26 07:00:00,78.04
2011-01-26 08:00:00,155.19
2011-01-26 09:00:00,93.03
2011-01-26 10:00:00,50.02
2011-01-26 11:00:00,49.25
2011-01-26 12:00:00,45.47
2011-01-26 13:00:00,45.85
2011-01-26 14:00:00,45.09
2011-01-26 15:00:00,41.82
2011-01-26 16:00:00,61.49
2011-01-26 17:00:00,122.29
2011-01-27 16:00:00,75.5
2011-01-27 17:00:00,144.73
2011-01-27 18:00:00,132.37
2011-01-27 19:00:00,100.37
2011-01-27 20:00:00,69.11
2011-01-27 21:00:00,46.61
2011-01-27 22:00:00,38.02
2011-01-27 23:00:00,23.13
2011-01-28 00:00:00,14.52
2011-01-28 01:00:00,7.2
2011-01-28 02:00:00,3.66
2011-01-28 03:00:00,2.34
2011-01-28 05:00:00,6.89
2011-01-28 06:00:00,31.08
2011-01-28 07:00:00,80.8
2011-01-28 08:00:00,170.48
2011-01-28 09:00:00,94.29
2011-01-28 10:00:00,45.03
2011-01-28 11:00:00,50.27
2011-01-28 12:00:00,48.62
2011-01-28 13:00:00,49.28
2011-01-28 14:00:00,51.85
2011-01-28 15:00:00,45.1
2011-01-28 16:00:00,67.1
2011-01-28 17:00:00,140.35
2011-01-28 18:00:00,137.72
2011-01-28 19:00:00,99.91
2011-01-28 20:00:00,74.26
2011-01-28 21:00:00,47.73
2011-01-28 22:00:00,40.99
2011-01-28 23:00:00,26.52
2011-01-29 00:00:00,28.7
2011-01-29 01:00:00,23.49
2011-01-29 02:00:00,16.46
2011-01-29 03:00:00,14.35
2011-01-29 04:00:00,3.67
2011-01-29 06:00:00,5.46
2011-01-29 07:00:00,17.09
2011-01-29 08:00:00,26.39
2011-01-29 09:00:00,43.53
2011-01-29 10:00:00,66.12
2011-01-29 11:00:00,63.88
2011-01-29 12:00:00,77.7
2011-01-29 13:00:00,83.25
2011-01-29 14:00:00,82.69
2011-01-29 15:00:00,81.82
2011-01-29 16:00:00,86.2
2011-01-29 17:00:00,81.95
2011-01-29 18:00:00,77.68
2011-01-29 19:00:00,67.49
2011-01-29 20:00:00,47.82
2011-01-29 21:00:00,39.26
2011-01-29 22:00:00,32.54
2011-01-29 23:00:00,22.42
2011-01-30 00:00:00,28.62
2011-01-30 01:00:00,23.98
2011-01-30 02:00:00,17.42
2011-01-30 03:00:00,15.67
2011-01-30 04:00:00,4.89
2011-01-30 05:00:00,3.6
2011-01-30 07:00:00,20.4
2011-01-30 08:00:00,29.05
2011-01-30 09:00:00,43.83
2011-01-30 10:00:00,64.02
2011-01-30 11:00:00,67.47
2011-01-30 12:00:00,100.64
2011-01-30 13:00:00,90.08
2011-01-30 14:00:00,91.19
2011-01-30 15:00:00,101.4
2011-01-30 16:00:00,101.92
2011-01-30 17:00:00,79.99
2011-01-30 18:00:00,77.47
2011-01-30 19:00:00,59.34
2011-01-30 20:00:00,46.72
2011-01-30 21:00:00,35.09
2011-01-30 22:00:00,23.62
2011-01-30 23:00:00,17.38
2011-01-31 00:00:00,13.16
2011-01-31 01:00:00,3.85
2011-01-31 02:00:00,4.48
2011-01-31 03:00:00,2.82
2011-01-31 04:00:00,2.33
2011-01-31 05:00:00,4.31
2011-01-31 06:00:00,32.42
2011-01-31 07:00:00,78.22
2011-01-31 08:00:00,160.13
2011-01-31 09:00:00,89.73
2011-01-31 10:00:00,31.25
2011-01-31 11:00:00,31.57
2011-01-31 12:00:00,42.6
2011-01-31 13:00:00,45.25
2011-01-31 14:00:00,40.76
2011-01-31 15:00:00,36.49
2011-01-31 16:00:00,57.06
2011-01-31 17:00:00,137.72
2011-01-31 18:00:00,134.71
2011-01-31 19:00:00,124.89
2011-01-31 20:00:00,60.0
2011-01-31 21:00:00,33.33
2011-01-31 22:00:00,30.22
2011-01-31 23:00:00,17.47
2011-02-20 00:00:00,34.28
2011-02-20 01:00:00,26.19
2011-02-20 02:00:00,17.3
2011-02-20 03:00:00,12.3
2011-02-20 04:00:00,2.83
2011-02-20 06:00:00,5.27
2011-02-20 07:00:00,12.0
2011-02-20 08:00:00,27.59
2011-02-20 09:00:00,44.83
2011-02-20 10:00:00,91.12
2011-02-20 11:00:00,113.38
2011-02-20 12:00:00,129.37
2011-02-20 13:00:00,151.43
2011-02-20 14:00:00,144.88
2011-02-20 15:00:00,149.84
2011-02-20 16:00:00,147.14
2011-02-20 17:00:00,113.7
2011-02-20 18:00:00,90.54
2011-02-20 19:00:00,74.17
2011-02-20 20:00:00,73.79
2011-02-20 21:00:00,63.82
2011-02-20 22:00:00,54.69
2011-02-20 23:00:00,40.04
2011-02-21 00:00:00,22.53
2011-02-21 01:00:00,19.1
2011-02-21 02:00:00,11.01
2011-02-21 03:00:00,4.49
2011-02-21 04:00:00,3.73
2011-02-21 05:00:00,7.86
2011-02-21 06:00:00,22.93
2011-02-21 07:00:00,86.54
2011-02-21 08:00:00,151.65
2011-02-21 09:00:00,99.27
2011-02-21 10:00:00,85.95
2011-02-21 11:00:00,95.72
2011-02-21 12:00:00,102.0
2011-02-21 13:00:00,72.75
2011-02-21 14:00:00,101.67
2011-02-21 15:00:00,102.41
2011-02-21 16:00:00,77.4
2011-02-21 17:00:00,111.45
2011-02-21 18:00:00,98.66
2011-02-21 19:00:00,78.31
2011-02-21 20:00:00,49.11
2011-02-21 21:00:00,39.06
2011-02-21 22:00:00,32.06
2011-02-21 23:00:00,22.14
2011-02-22 06:00:00,32.06
2011-02-22 07:00:00,89.09
2011-02-22 08:00:00,200.75
2011-02-22 09:00:00,117.65
2011-02-22 10:00:00,39.4
2011-02-22 11:00:00,44.7
2011-02-22 12:00:00,43.79
2011-02-22 13:00:00,55.79
2011-02-22 14:00:00,57.88
2011-02-22 15:00:00,65.24
2011-02-22 16:00:00,70.58
2011-02-22 17:00:00,147.77
2011-02-22 18:00:00,145.24
2011-02-22 19:00:00,103.45
2011-02-22 20:00:00,82.09
2011-02-22 21:00:00,61.59
2011-02-22 22:00:00,34.29
2011-02-22 23:00:00,23.44
2011-02-23 00:00:00,14.04
2011-02-23 01:00:00,7.16
2011-02-23 02:00:00,3.46
2011-02-23 03:00:00,1.83
2011-02-23 05:00:00,7.26
2011-02-23 06:00:00,30.61
2011-02-23 07:00:00,91.94
2011-02-23 08:00:00,198.72
2011-02-23 09:00:00,126.59
2011-02-23 10:00:00,50.26
2011-02-23 11:00:00,59.11
2011-02-23 12:00:00,70.54
2011-02-23 13:00:00,77.05
2011-02-23 14:00:00,81.96
2011-02-23 15:00:00,79.34
2011-02-23 16:00:00,115.72
2011-02-23 17:00:00,215.52
2011-02-23 18:00:00,201.93
2011-02-23 19:00:00,138.25
2011-02-23 20:00:00,80.76
2011-02-23 21:00:00,68.07
2011-02-23 22:00:00,47.09
2011-02-23 23:00:00,30.0
2011-02-24 00:00:00,13.89
2011-02-24 01:00:00,6.9
2011-02-24 02:00:00,4.0
2011-02-24 03:00:00,2.08
2011-02-24 05:00:00,7.27
2011-02-24 06:00:00,35.63
2011-02-24 07:00:00,101.03
2011-02-24 08:00:00,245.19
2011-02-24 09:00:00,129.65
2011-02-24 10:00:00,58.95
2011-02-24 11:00:00,76.85
2011-02-24 12:00:00,90.49
2011-02-24 13:00:00,89.8
2011-02-24 14:00:00,91.81
2011-02-24 15:00:00,49.2
2011-02-24 16:00:00,64.37
2011-02-24 17:00:00,170.08
2011-02-24 18:00:00,161.5
2011-02-24 19:00:00,105.55
2011-02-24 20:00:00,84.41
2011-02-24 21:00:00,63.28
2011-02-24 22:00:00,46.94
2011-02-24 23:00:00,38.66
2011-02-25 00:00:00,14.23
2011-02-25 01:00:00,10.52
2011-02-25 02:00:00,9.02
2011-02-25 03:00:00,2.99
2011-02-25 05:00:00,8.06
2011-02-25 06:00:00,33.07
2011-02-25 07:00:00,86.16
2011-02-25 08:00:00,156.66
2011-02-25 09:00:00,81.91
2011-02-25 10:00:00,57.65
2011-02-25 11:00:00,133.9
2011-02-25 12:00:00,167.37
2011-02-25 13:00:00,168.1
2011-02-25 14:00:00,175.49
2011-02-25 15:00:00,183.09
2011-02-25 16:00:00,118.97
2011-02-25 17:00:00,179.21
2011-02-25 18:00:00,168.76
2011-02-25 19:00:00,115.21
2011-02-25 20:00:00,71.82
2011-02-25 21:00:00,56.22
2011-02-25 22:00:00,41.81
2011-02-25 23:00:00,31.55
2011-02-26 00:00:00,30.44
2011-02-26 01:00:00,22.96
2011-02-26 02:00:00,16.16
2011-02-26 03:00:00,15.49
2011-02-26 04:00:00,3.29
2011-02-26 05:00:00,2.55
2011-02-26 06:00:00,6.51
2011-02-26 07:00:00,19.32
2011-02-26 08:00:00,38.78
2011-02-26 09:00:00,50.46
2011-02-26 10:00:00,104.94
2011-02-26 11:00:00,125.16
2011-02-26 12:00:00,135.98
2011-02-26 13:00:00,141.49
2011-02-26 14:00:00,135.98
2011-02-26 15:00:00,146.63
2011-02-26 16:00:00,143.34
2011-02-26 17:00:00,116.03
2011-02-26 18:00:00,91.84
2011-02-26 19:00:00,76.54
2011-02-26 20:00:00,65.24
2011-02-26 21:00:00,47.4
2011-02-26 22:00:00,47.04
2011-02-26 23:00:00,42.4
2011-02-27 00:00:00,34.07
2011-02-27 01:00:00,29.67
2011-02-27 02:00:00,21.25
2011-02-27 03:00:00,16.31
2011-02-27 04:00:00,4.77
2011-02-27 06:00:00,7.18
2011-02-27 07:00:00,14.32
2011-02-27 08:00:00,50.14
2011-02-27 09:00:00,65.51
2011-02-27 10:00:00,96.56
2011-02-27 11:00:00,129.03
2011-02-27 12:00:00,150.56
2011-02-27 13:00:00,158.75
2011-02-27 14:00:00,179.37
2011-02-27 15:00:00,250.16
2011-02-27 16:00:00,272.57
2011-02-27 17:00:00,121.23
2011-02-27 18:00:00,103.95
2011-02-27 19:00:00,84.77
2011-02-27 20:00:00,77.13
2011-02-27 21:00:00,71.87
2011-02-27 22:00:00,60.84
2011-02-27 23:00:00,46.14
2011-02-28 00:00:00,19.54
2011-02-28 01:00:00,5.21
2011-02-28 03:00:00,2.73
2011-02-28 05:00:00,8.86
2011-02-28 06:00:00,40.16
2011-02-28 07:00:00,124.72
2011-02-28 08:00:00,238.13
2011-02-28 09:00:00,139.02
2011-02-28 10:00:00,89.04
2011-02-28 11:00:00,108.29
2011-02-28 12:00:00,126.19
2011-02-28 13:00:00,107.2
2011-02-28 14:00:00,78.07
2011-02-28 15:00:00,77.2
2011-02-28 16:00:00,96.34
2011-02-28 17:00:00,156.96
2011-02-28 18:00:00,147.16
2011-02-28 19:00:00,111.11
2011-02-28 20:00:00,92.52
2011-02-28 21:00:00,80.38
2011-02-28 22:00:00,42.56
2011-02-28 23:00:00,27.33
2011-03-20 00:00:00,37.54
2011-03-20 01:00:00,33.04
2011-03-20 02:00:00,20.5
2011-03-20 03:00:00,15.67
2011-03-20 04:00:00,3.5
2011-03-20 05:00:00,3.11
2011-03-20 06:00:00,6.13
2011-03-20 07:00:00,18.09
2011-03-20 08:00:00,49.21
2011-03-20 09:00:00,75.43
2011-03-20 10:00:00,126.34
2011-03-20 11:00:00,138.83
2011-03-20 12:00:00,150.92
2011-03-20 13:00:00,153.48
2011-03-20 14:00:00,156.87
2011-03-20 15:00:00,158.06
2011-03-20 16:00:00,150.49
2011-03-20 17:00:00,150.74
2011-03-20 18:00:00,140.53
2011-03-20 19:00:00,105.22
2011-03-20 20:00:00,88.25
2011-03-20 21:00:00,72.46
2011-03-20 22:00:00,58.45
2011-03-20 23:00:00,36.8
2011-03-21 00:00:00,16.05
2011-03-21 01:00:00,8.22
2011-03-21 02:00:00,7.23
2011-03-21 03:00:00,3.75
2011-03-21 05:00:00,7.45
2011-03-21 06:00:00,41.46
2011-03-21 07:00:00,94.67
2011-03-21 08:00:00,248.05
2011-03-21 09:00:00,136.33
2011-03-21 10:00:00,74.51
2011-03-21 11:00:00,86.83
2011-03-21 12:00:00,95.37
2011-03-21 13:00:00,128.7
2011-03-21 14:00:00,116.69
2011-03-21 15:00:00,141.58
2011-03-21 16:00:00,167.13
2011-03-21 17:00:00,355.16
2011-03-21 18:00:00,359.13
2011-03-21 19:00:00,275.5
2011-03-21 20:00:00,181.46
2011-03-21 21:00:00,93.37
2011-03-21 22:00:00,89.17
2011-03-21 23:00:00,52.71
2011-03-22 00:00:00,28.02
2011-03-22 01:00:00,8.86
